| #  | Evento                                                                                     | Sucesso                                                         | Consequência (Sucesso) | Falha                                                       | Consequência (Falha) |
| -- | ------------------------------------------------------------------------------------------ | --------------------------------------------------------------- | ---------------------- | ----------------------------------------------------------- | -------------------- |
| 1  | **Raiz Traiçoeira** – Uma raiz grossa se move levemente sob seu pé.                        | Você mantém o equilíbrio com agilidade impressionante.          | +1 Físico              | Você tropeça e bate o joelho numa pedra oculta.             | -1 Vida              |
| 2  | **Sussurros na Névoa** – Vozes começam a chamar seu nome entre as árvores.                 | Você reconhece que é ilusão da floresta e ignora os sussurros.  | +1 Mental              | Você segue as vozes e se perde por um tempo.                | -1 Mental            |
| 3  | **Esporos Luminescentes** – Um cogumelo explode liberando pó brilhante.                    | Você prende a respiração e sai da nuvem tóxica.                 | +1 Mental              | Você inala os esporos e sente tontura imediata.             | -1 Vida              |
| 4  | **Olhos na Escuridão** – Dois olhos vermelhos te observam do mato.                         | Você encara de volta e a criatura recua.                        | +1 Físico              | Você hesita e algo arranha seu braço antes de fugir.        | -1 Vida              |
| 5  | **Lago de Reflexo Negro** – Seu reflexo se move diferente de você.                         | Você encara seu duplo e afirma sua própria identidade.          | +1 Mental              | Seu reflexo sorri e você sente parte da sua energia esvair. | -1 Mental            |
| 6  | **Galho Quebradiço** – Você precisa atravessar um tronco sobre um desfiladeiro.            | Você atravessa com equilíbrio e firmeza.                        | +1 Físico              | O galho cede parcialmente e você se machuca na queda curta. | -1 Físico            |
| 7  | **Fruto Desconhecido** – Uma fruta de aparência vibrante cresce sozinha numa árvore morta. | Você identifica que é nutritiva e recupera energia.             | +1 Vida                | A fruta era venenosa e queima sua garganta.                 | -1 Vida              |
| 8  | **Ritual Esquecido** – Você encontra um círculo de pedras com símbolos antigos.            | Você entende parte do símbolo e absorve conhecimento ancestral. | +2 Mental              | Você ativa algo sem querer e sofre uma descarga arcana.     | -1 Vida              |
| 9  | **Chuva Repentina** – Uma tempestade fria cai sem aviso.                                   | Você encontra abrigo rapidamente.                               | +1 Mental              | Você permanece exposto e seu corpo fica exausto.            | -1 Físico            |
| 10 | **Armadilha de Caçador** – Um estalo ecoa sob seu pé.                                      | Você salta no último segundo antes da armadilha fechar.         | +1 Físico              | A armadilha prende sua perna dolorosamente.                 | -2 Vida              |
| 11 | **Corvo Falante** – Um corvo pousa próximo e diz: “Não confie na lua.”                     | Você presta atenção e sente que evitou um perigo futuro.        | +1 Mental              | Você ignora e sente um arrepio constante te perturbando.    | -1 Mental            |
| 12 | **Clarão Verde** – Um raio verde cruza o céu e atinge uma árvore próxima.                  | Você aproveita a energia residual e se sente revigorado.        | +1 Vida                | Fragmentos incandescentes atingem você.                     | -1 Vida              |
